car_url,bodyType,brand,color,engineDisplacement,enginePower,fuelType,mileage,modelDate,model_name,name,price,productionDate,sell_id,start_date,gear_box,owners,vehicle_licence,transmission,handle,condition,custom_office,region,vehicleConfiguration,vendor,grade_list
https://auto.ru/cars/used/sale/mercedes/c_klasse/1115285012-fdeaa02f/,седан,MERCEDES,серый,2.1 л,204 л.с.,Дизель,118 000 км,2016,C-Класс,Mercedes-Benz C-Класс 250 d 9G-TRONIC IV (W205),2750000,2016,1115285012,6 апреля,автоматическая,1 владелец,Оригинал,задний,Левый,Не требует ремонта,Растаможен, в Москве,4,Германия,"['•Подушка безопасности для защиты коленей водителя', '•Крепление детского кресла (задний ряд) ISOFIX', '•Датчик давления в шинах', '•ЭРА-ГЛОНАСС', '•Кондиционер', '•Круиз-контроль', '•Система автоматической парковки', '•Камера задняя']"
https://auto.ru/cars/used/sale/mercedes/c_klasse/1115112206-053681e2/,седан,MERCEDES,чёрный,1.6 л,156 л.с.,Бензин,227 000 км,2016,C-Класс,Mercedes-Benz C-Класс 180 IV (W205),2090000,2016,1115112206,10 апреля,автоматическая,2 владельца,Оригинал,задний,Левый,Не требует ремонта,Растаможен, в Смоленске,4,Германия,"['•Подушка безопасности водителя', '•Подушка безопасности пассажира', '•Подушки безопасности боковые', '•Подушки безопасности боковые задние', '•Подушки безопасности оконные (шторки)', '•Диски 16', '•Металлик', '•Декоративные молдинги']"
,седан,MERCEDES,чёрный,2.1 л,136 л.с.,Дизель,72 000 км,2017,C-Класс,Mercedes-Benz C-Класс 200 d 9G-TRONIC IV (W205),,2017,,5 апреля,автоматическая,1 владелец,Оригинал,задний,Левый,Не требует ремонта,Растаможен, в Москве,4,Германия,"['•Датчик света', '•Электрообогрев боковых зеркал', '•Bluetooth']"
